CrabSurvey_Fish,CrabSurvey_Inverts,Fish16S,COI_animals
ALOSA PSEUDOHARENGUS,APHRODITA HASTATA,AMMODYTES SPP.,AGLANTHA DIGITALE
AMBLYRAJA RADIATA,ARGIS DENTATA,ANARHICHAS LUPUS,AMERITELLA AGILIS
ANARHICHAS LUPUS,ASTERIAS RUBENS,CLUPEA HARENGUS,AMPHICTEIS GUNNERI
ANARHICHAS MINOR,ASTERIAS SP.,ENCHELYOPUS CIMBRIUS,AMPHITRITE CIRRATA
ARTEDIELLUS ATLANTICUS,ASTEROIDEA,GADUS MORHUA,APHRODITA HASTATA
ARTEDIELLUS SP.,ATLANTOPANDALUS PROPINQVUS,GLYPTOCEPHALUS CYNOGLOSSUS,ASTERIAS RUBENS
ARTEDIELLUS UNCINATUS,BOLOCERA,HEMITRIPTERUS AMERICANUS,AURELIA AURITA
CLUPEA HARENGUS,BOLTENIA OVIFERA,HIPPOGLOSSOIDES PLATESSOIDES,BALANUS CRENATUS
ENCHELYOPUS CIMBRIUS,BRISASTER FRAGILIS,ILUOCOETES FIMBRIATUS,BALANUS ROSTRATUS
EUMESOGRAMMUS PRAECISUS,BUCCINUM,MALLOTUS VILLOSUS,BOLTENIA OVIFERA
EUMICROTREMUS SPINOSUS,CALATHURA BRACHIATA,SCOMBER SCOMBRUS,BRADA VILLOSA CMC01
GADUS MORHUA,CANCER BOREALIS,SCOMBERESOX SAURUS,CALANUS FINMARCHICUS
GLYPTOCEPHALUS CYNOGLOSSUS,CANCER IRRORATUS,SEBASTES SPP.,CALANUS HYPERBOREUS
GYMNOCANTHUS TRICUSPIS,CAUDINA ARENATA,,CATABLEMA VESICARIUM
HIPPOGLOSSOIDES PLATESSOIDES,CHIONOECETES OPILIO,,CENTROPAGES HAMATUS
HIPPOGLOSSUS HIPPOGLOSSUS,CHLAMYS ISLANDICA,,CEREBRATULUS SP.
ICELUS BICORNIS,CIRRIPEDIA,,CETORHINUS MAXIMUS
LEPTOCLINUS MACULATUS,CLYPEASTEROIDA,,CHIONOECETES OPILIO
LEUCORAJA OCELLATA,CRANGON,,CHLAMYS ISLANDICA
LIPARIS,CROSSASTER PAPPOSUS,,CLIONE LIMACINA
LOPHIUS AMERICANUS,CTENODISCUS CRISPATUS,,CLYMENELLA ZONALIS
LUMPENUS LAMPRETAEFORMIS,CUCUMARIA FRONDOSA,,CLYTIA HEMISPHAERICA
LYCODES,EURYALIDA,,CROSSASTER PAPPOSUS
LYCODES LAVALAEI,FLUSTRA FOLIACEA,,CTENODISCUS CRISPATUS
LYCODES PALLIDUS,HALOCYNTHIA PYRIFORMIS,,CUCUMARIA FRONDOSA
LYCODES RETICULATUS,HEMITRIPTERUS AMERICANUS,,CYANEA CAPILLATA
LYCODES TERRAENOVAE,HENRICIA SANGUINOLENTA,,DENDROBEANIA MURRAYANA
