sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Sample-1	452999	404729	89.34	402594	394623	87.11	369700	81.61
Sample-10	413813	365181	88.25	360822	350806	84.77	311083	75.17
Sample-11	9959	6348	63.74	6192	6117	61.42	6116	61.41
Sample-12	464076	406363	87.56	403331	393886	84.88	349330	75.27
Sample-13	493005	436235	88.48	432937	422509	85.7	370129	75.08
Sample-14	500956	443569	88.54	440039	430262	85.89	386816	77.22
Sample-15	4671	2302	49.28	2200	2150	46.03	2150	46.03
Sample-16	400569	348868	87.09	345629	337866	84.35	305514	76.27
Sample-17	430777	381877	88.65	378875	371455	86.23	330547	76.73
Sample-18	428096	367945	85.95	364233	355339	83	322138	75.25
Sample-19	20410	16267	79.7	16136	16027	78.53	15871	77.76
Sample-2	605036	528334	87.32	525626	514901	85.1	474366	78.4
Sample-20	555301	480347	86.5	470434	458077	82.49	447457	80.58
Sample-21	505823	420080	83.05	415524	408658	80.79	361173	71.4
Sample-22	510147	418478	82.03	412218	404148	79.22	382665	75.01
Sample-23	116253	99941	85.97	99840	98423	84.66	98282	84.54
Sample-24	415989	349303	83.97	346278	335878	80.74	292266	70.26
Sample-25	592409	487613	82.31	483722	473503	79.93	431488	72.84
Sample-26	595413	501999	84.31	497765	484817	81.43	427035	71.72
Sample-27	20061	8391	41.83	8291	8216	40.96	8053	40.14
Sample-3	453419	397388	87.64	395218	388189	85.61	360421	79.49
Sample-4	44746	6946	15.52	6845	6809	15.22	6809	15.22
Sample-5	575417	501066	87.08	495450	487490	84.72	472001	82.03
Sample-6	742383	652060	87.83	647508	639359	86.12	623146	83.94
Sample-7	525727	463324	88.13	457925	449995	85.59	433694	82.49
Sample-8	412062	357021	86.64	351353	341811	82.95	320508	77.78
Sample-9	304831	259331	85.07	255285	247422	81.17	219046	71.86
