"ASV"	"Sample.001"	"Sample.002"	"Sample.003"	"Sample.004"	"Sample.005"	"Sample.006"	"Sample.007"	"Sample.008"	"Sample.009"	"Sample.010"	"Sample.011"	"Sample.012"	"Sample.013"	"Sample.014"	"Sample.015"	"Sample.016"	"Sample.017"	"Sample.018"	"Sample.019"	"Sample.020"	"Sample.021"	"Sample.022"	"Sample.023"	"Sample.024"	"Sample.025"	"Sample.026"	"Sample.027"	"Sample.028"	"Sample.029"	"Sample.030"	"Sample.031"	"Sample.032"	"Sample.033"	"Sample.034"	"Sample.035"	"Sample.036"	"Sample.037"	"Sample.038"	"Sample.039"	"Sample.040"	"Sample.041"	"Sample.042"	"Sample.043"	"Sample.044"	"Sample.045"	"Sample.046"	"Sample.047"	"Sample.048"	"Sample.049"	"Sample.050"	"Sample.051"	"Sample.052"	"Sample.053"	"Sample.054"	"Sample.055"	"Sample.056"	"Sample.057"	"Sample.058"	"Sample.059"	"Sample.060"	"Sample.061"	"Sample.062"	"Sample.063"	"Sample.064"	"Sample.065"	"Sample.066"	"Sample.067"	"Sample.068"	"Sample.069"	"Sample.070"	"Sample.071"	"Sample.072"	"Sample.073"	"Sample.074"	"Sample.075"	"Sample.076"	"Sample.077"	"Sample.078"	"Sample.079"	"Sample.080"	"Sample.081"	"Sample.082"	"Sample.083"	"Sample.084"	"Sample.085"	"Sample.086"	"Sample.090"	"Sample.091"	"NCBIname"	"percentmatch"	"evalue"	"length"	"species"	"taxongroup"	"commonname"
"3585731f7bc0660a31d0a16275c8e4e9"	883677	626989	553566	300454	657458	1403696	441911	463633	694660	675211	52	0	0	0	473094	899265	944825	3	1306778	0	668073	0	0	0	681571	1799	276052	352576	333537	739356	189331	844188	276952	0	0	83373	0	72321	701500	222209	560031	0	291237	639826	110724	2	0	0	0	0	0	0	0	0	0	0	0	0	521413	0	0	0	6	0	726353	582	0	0	806152	0	0	278254	0	357776	256631	453988	0	722988	0	0	3	0	0	0	0	0	0	0	"gi|1129799464|gb|KX686086.1|"	100	1.32e-77	163	"Brevoortia tyrannus"	"bony fishes"	"Atlantic menhaden"
"46961228ed315928d692c400e62eb9cb"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	624403	0	0	0	0	0	775397	589325	0	0	0	0	0	0	0	0	0	0	962158	604564	356717	0	0	732409	479932	190286	62	681478	297520	232969	678177	0	758530	381604	737362	557031	0	0	13	0	0	0	0	215170	0	0	"gi|821091582|gb|KP644368.1|"	100	5.97e-76	160	"Microgadus tomcod"	"bony fishes"	"Atlantic tomcod"
"b208ca2daae33f63ed49e55dc51af493"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1034417	90827	727140	0	0	170	0	0	576541	0	0	0	739036	0	599068	0	0	0	299563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199681	0	0	"gi|2309725953|gb|OP537865.1|"	100	2.13e-75	159	"Anguilla rostrata"	"bony fishes"	"American eel"
"b883c4065ca10184ffe02dece25810b2"	0	0	0	0	0	73437	296657	243425	0	0	0	0	0	0	0	0	0	0	162591	0	122701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	531173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421285	0	0	985027	0	750843	104579	0	0	"gi|1799624616|gb|MN122931.1|"	100	4.69e-77	162	"Clupea harengus"	"bony fishes"	"Atlantic herring"
"5ed3f98b8bec3c48d0f6cd51f45e7a3c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96440	0	0	0	0	0	0	265819	0	0	0	0	0	0	0	114512	0	0	0	0	0	0	0	0	0	0	288357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103278	0	0	0	0	165053	0	94780	0	93988	291207	0	0	160999	213548	379263	0	0	0	0	0	0	0	0	0	0	0	0	"gi|1517363219|gb|MH538898.1|"	100	2.13e-75	159	"Menidia menidia"	"bony fishes"	"Atlantic silverside"
"0617d08fec7015911b98ccd07218a634"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1070284	117927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	933188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79836	0	0	0	"gi|1799624491|gb|MN122853.1|"	100	2.13e-75	159	"Scomber scombrus"	"bony fishes"	"Atlantic mackerel"
"3d550cd38760757248fbcbdb8957f86c"	2486	2146	1619	953712	0	4719	0	0	2293	3854	0	0	0	0	0	3552	3029	0	4395	0	3874	0	294644	0	1824	0	1081	0	460536	2381	553	0	685	0	0	0	0	0	0	285	3143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2394	0	0	705	0	0	1395	0	0	1816	0	0	0	0	0	0	0	0	0	0	"gi|2329468251|gb|OP057013.1|"	100	1.32e-77	163	"Brevoortia patronus"	"bony fishes"	"Gulf menhaden"
"5f0086b5d66a14f9890bfdbe46695d96"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86466	567	0	51108	0	0	0	0	0	0	0	0	96460	204166	0	0	202166	0	114246	0	0	317399	22281	0	42014	77208	0	0	68578	0	0	0	0	0	0	0	0	0	0	"gi|1129799476|gb|KX686098.1|"	100	7.61e-75	158	"Fundulus heteroclitus"	"bony fishes"	"mummichog"
"ce6d31c0fe708e0884eb7f6ea2076d75"	0	234441	0	0	0	0	0	0	0	0	109823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205458	48	264927	0	102333	0	0	108973	0	75	144357	0	0	0	0	0	0	0	0	0	0	"gi|1347730035|ref|NC_037017.1|"	100	1.32e-77	163	"Alosa aestivalis"	"bony fishes"	"blueback shad"
"0f53144e305087e7adaf9ba96061b7f0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575221	7050	1833	0	0	0	0	0	0	582431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"gi|1337992878|gb|MG570423.1|"	99.383	2.18e-75	162	"Catostomus commersonii"	"bony fishes"	"white sucker"
"023d25118f3b3c788c915c08a3778c3e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"gi|2580283387|gb|OP057106.2|"	100	1.67e-76	161	"Urophycis chuss"	"bony fishes"	"red hake"
"d57f42913a6a5eb00fc38660599341bd"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323144	72137	199723	0	0	275827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"gi|1337992878|gb|MG570423.1|"	100	4.69e-77	162	"Catostomus commersonii"	"bony fishes"	"white sucker"
"e7db36c0c778d135da1a922d6ab0e8b6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	830058	0	0	0	0	0	0	0	"gi|1825511880|gb|MT103910.1|"	100	2.13e-75	159	"Eumesogrammus praecisus"	"bony fishes"	"fourline snakeblenny"
"ec67e9cc15f0dcf3177b266a5a26a286"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315257	4	83427	0	0	0	0	162078	0	0	0	0	0	0	0	0	0	0	0	0	0	"gi|1825511897|gb|MT103924.1|"	100	2.13e-75	159	"Pseudopleuronectes americanus"	"bony fishes"	"winter flounder"
"6bf80eb5620b8a53e2565e81871d06d0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"gi|1129799464|gb|KX686086.1|"	99.387	6.12e-76	163	"Brevoortia tyrannus"	"bony fishes"	"Atlantic menhaden"
"8d6e6f1617d124dbcda266dcfd4c18ae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174015	0	0	0	0	0	292847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"gi|597440310|gb|KJ564214.1|"	100	2.13e-75	159	"Anguilla rostrata"	"bony fishes"	"American eel"
"52ce06fb1ccae327302a94e917914e63"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"gi|1337992878|gb|MG570423.1|"	99.383	2.18e-75	162	"Catostomus commersonii"	"bony fishes"	"white sucker"
"0055cd30005d5e9fe7e383e6369b9be9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2359	0	0	0	333980	0	0	0	0	"gi|1799624616|gb|MN122931.1|"	99.383	2.18e-75	162	"Clupea harengus"	"bony fishes"	"Atlantic herring"
"96d13ea91fac06e0bf9a9fd982b50dae"	12433	8357	7485	4095	8554	19192	6096	6583	9325	9304	0	0	0	0	5889	12175	12989	0	16285	0	7846	0	0	0	11207	0	3424	3935	3955	9336	2643	12194	3473	0	0	987	0	1013	8779	3075	7587	0	3571	7807	1439	0	0	0	0	0	0	0	0	0	0	0	0	0	10985	0	0	0	0	0	9565	0	0	0	10758	0	0	3837	0	4785	3013	5517	0	10801	0	0	0	0	0	0	0	0	0	0	"gi|1129799464|gb|KX686086.1|"	100	4.73e-77	162	"Brevoortia tyrannus"	"bony fishes"	"Atlantic menhaden"
"205575f7ab12da64f5a7a6fa18d5423e"	0	0	0	0	0	0	0	0	0	271919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"gi|1129799464|gb|KX686086.1|"	98.773	2.85e-74	163	"Brevoortia tyrannus"	"bony fishes"	"Atlantic menhaden"
