38acb38ed5e40b4358247227bc8ef2e1	gi|1798183348|emb|LR745847.1|	99.505	5.56e-97	202	Asterias rubens	starfish	European starfish
38acb38ed5e40b4358247227bc8ef2e1	gi|2567033648|gb|OR473298.1|	95.050	5.68e-82	202	Asterias amurensis	starfish	Northern Pacific seastar
38acb38ed5e40b4358247227bc8ef2e1	gi|2582205361|gb|CP134956.1|	95.050	5.68e-82	202	Asterias amurensis	starfish	Northern Pacific seastar
38acb38ed5e40b4358247227bc8ef2e1	gi|2582205361|gb|CP134956.1|	97.059	8.00e-21	68	Asterias amurensis	starfish	Northern Pacific seastar
38acb38ed5e40b4358247227bc8ef2e1	gi|2499155095|gb|OP747303.1|	95.050	5.68e-82	202	Asterias amurensis	starfish	Northern Pacific seastar
38acb38ed5e40b4358247227bc8ef2e1	gi|2499155067|gb|OP747301.1|	95.050	5.68e-82	202	Asterias amurensis	starfish	Northern Pacific seastar
1fd6ab0753431abb0109e3af7af56a60	gi|3057012933|gb|PX273259.1|	99.517	9.40e-100	207	Homo sapiens	primates	human
1fd6ab0753431abb0109e3af7af56a60	gi|3057012919|gb|PX273258.1|	99.517	9.40e-100	207	Homo sapiens	primates	human
1fd6ab0753431abb0109e3af7af56a60	gi|3057012905|gb|PX273257.1|	99.517	9.40e-100	207	Homo sapiens	primates	human
1fd6ab0753431abb0109e3af7af56a60	gi|3057012891|gb|PX273256.1|	99.517	9.40e-100	207	Homo sapiens	primates	human
1fd6ab0753431abb0109e3af7af56a60	gi|3057012877|gb|PX273255.1|	99.517	9.40e-100	207	Homo sapiens	primates	human
b962a5ceedd109d8dfe3c105d5ff3403	gi|3053320641|gb|PX070016.1|	100.000	5.65e-102	208	Clupea harengus	ray-finned fishes	Atlantic herring
b962a5ceedd109d8dfe3c105d5ff3403	gi|1799624616|gb|MN122931.1|	100.000	5.65e-102	208	Clupea harengus	ray-finned fishes	Atlantic herring
b962a5ceedd109d8dfe3c105d5ff3403	gi|1517391475|gb|MH194498.2|	100.000	5.65e-102	208	Clupea harengus	ray-finned fishes	Atlantic herring
b962a5ceedd109d8dfe3c105d5ff3403	gi|2018537065|gb|MW818226.1|	100.000	5.65e-102	208	Clupea harengus	ray-finned fishes	Atlantic herring
b962a5ceedd109d8dfe3c105d5ff3403	gi|2018537050|gb|MW818211.1|	100.000	5.65e-102	208	Clupea harengus	ray-finned fishes	Atlantic herring
c703047e8ce28ce42edada4d93e96010	gi|2994737912|gb|PV656772.1|	100.000	7.23e-101	206	Melanogrammus aeglefinus	ray-finned fishes	haddock
c703047e8ce28ce42edada4d93e96010	gi|2994737898|gb|PV656771.1|	100.000	7.23e-101	206	Melanogrammus aeglefinus	ray-finned fishes	haddock
c703047e8ce28ce42edada4d93e96010	gi|2994737884|gb|PV656770.1|	100.000	7.23e-101	206	Melanogrammus aeglefinus	ray-finned fishes	haddock
c703047e8ce28ce42edada4d93e96010	gi|124377065|emb|AM489717.1|	100.000	7.23e-101	206	Melanogrammus aeglefinus	ray-finned fishes	haddock
c703047e8ce28ce42edada4d93e96010	gi|94481723|gb|DQ356942.1|	100.000	7.23e-101	206	Melanogrammus aeglefinus	ray-finned fishes	haddock
096cc69d7649e47ed2c2511d4d94d07f	gi|2591482342|ref|NC_083190.1|	92.754	2.12e-76	207	Sclerasterias satsumana	starfish	Sclerasterias satsumana
096cc69d7649e47ed2c2511d4d94d07f	gi|1693290266|ref|NC_042741.1|	81.159	1.04e-34	207	Pisaster ochraceus	starfish	purple sea star
096cc69d7649e47ed2c2511d4d94d07f	gi|2499155081|gb|OP747302.1|	78.469	1.06e-24	209	Asterias amurensis	starfish	Northern Pacific seastar
096cc69d7649e47ed2c2511d4d94d07f	gi|2567033648|gb|OR473298.1|	77.990	4.92e-23	209	Asterias amurensis	starfish	Northern Pacific seastar
096cc69d7649e47ed2c2511d4d94d07f	gi|2582205361|gb|CP134956.1|	77.990	4.92e-23	209	Asterias amurensis	starfish	Northern Pacific seastar
2c5049e480840ffc784d92312c30e5e8	gi|2882954833|gb|PQ858633.1|	99.510	4.30e-98	204	Sebastes mentella	ray-finned fishes	deepwater redfish
