9a69c15286be6cf8cc37822bff6f917d	gi|1804583978|gb|MN746374.1|	96.721	3.51e-47	122	Puccinia striiformis f. sp. tritici	rust fungi	Puccinia striiformis f. sp. tritici
957b190149878eee7d6e27b260bc3533	gi|1714236393|ref|NC_044121.1|	98.182	4.74e-16	55	Austropuccinia psidii	rust fungi	Austropuccinia psidii
31cecc1969c6ee6b83251f17f76307cc	gi|1714236393|ref|NC_044121.1|	98.182	4.74e-16	55	Austropuccinia psidii	rust fungi	Austropuccinia psidii
1a0a436c8b7feb78dc5b5e5b8f0db43e	gi|1714236393|ref|NC_044121.1|	98.182	4.74e-16	55	Austropuccinia psidii	rust fungi	Austropuccinia psidii
39fdd31e62982dd60eb3a645adeecf9b	gi|2172612263|ref|NC_059753.1|	90.323	7.81e-24	93	Pleurosigma inscriptura	diatoms	Pleurosigma inscriptura
07bb873bde3b491951a8386334bca083	gi|1337993088|gb|MG570438.1|	100.000	1.24e-56	125	Notemigonus crysoleucas	bony fishes	golden shiner
3de5dc81260e6e4f324cc65874685a98	gi|1337993088|gb|MG570438.1|	99.200	5.79e-55	125	Notemigonus crysoleucas	bony fishes	golden shiner
f8aa4c91e18dad5b3c61af62c7b7e0f4	gi|1088479232|ref|NC_031568.1|	99.200	5.79e-55	125	Couesius plumbeus	bony fishes	lake chub
5035bd287b37274b723bce8302f33f39	gi|1337992822|gb|MG570419.1|	100.000	1.24e-56	125	Semotilus atromaculatus	bony fishes	creek chub
47e28771f7eb4237171794d70528681f	gi|1129799476|gb|KX686098.1|	98.400	2.69e-53	125	Fundulus heteroclitus	bony fishes	mummichog
92517ff709d4e0e110dc2b5f87a5528d	gi|2325478428|gb|OM736858.1|	100.000	1.24e-56	125	Fundulus diaphanus	bony fishes	banded killifish
62599fe79fa302d2a06513f49d2130b4	gi|1129799476|gb|KX686098.1|	99.200	5.79e-55	125	Fundulus heteroclitus	bony fishes	mummichog
a2fe21654ac9d23ebe139e2a579039a4	gi|1129799476|gb|KX686098.1|	99.200	5.79e-55	125	Fundulus heteroclitus	bony fishes	mummichog
6e994d036e4ba4943744da4773db338e	gi|1129799476|gb|KX686098.1|	99.200	5.79e-55	125	Fundulus heteroclitus	bony fishes	mummichog
9ce862114414721913968cb79dcda873	gi|1129799476|gb|KX686098.1|	99.200	5.79e-55	125	Fundulus heteroclitus	bony fishes	mummichog
99bdbce8f25b4e172a57637dd4d8c473	gi|1129799476|gb|KX686098.1|	98.400	2.69e-53	125	Fundulus heteroclitus	bony fishes	mummichog
4fa0503b308dd092f1dfcbcec67f4d74	gi|1129799476|gb|KX686098.1|	99.200	5.79e-55	125	Fundulus heteroclitus	bony fishes	mummichog
ea295f6ba9f676a3bb0f81e40bb0fb3b	gi|1129799476|gb|KX686098.1|	99.200	5.79e-55	125	Fundulus heteroclitus	bony fishes	mummichog
6cd4cb68f743a26ae58c0e4460c86af2	gi|1129799476|gb|KX686098.1|	99.200	5.79e-55	125	Fundulus heteroclitus	bony fishes	mummichog
586ccfdc7b6742d3d91ce226360e7d01	gi|1129799476|gb|KX686098.1|	100.000	1.24e-56	125	Fundulus heteroclitus	bony fishes	mummichog
f6c4ed819f50ac20e2dd463681a6c528	gi|1129799476|gb|KX686098.1|	99.200	5.79e-55	125	Fundulus heteroclitus	bony fishes	mummichog
930c7d803e73aeb577db56424ec8343c	gi|1129799476|gb|KX686098.1|	98.400	2.69e-53	125	Fundulus heteroclitus	bony fishes	mummichog
2f309e342848d60b30e99a284361cac0	gi|292559443|ref|NC_013986.1|	94.690	5.91e-40	113	Vermamoeba vermiformis	eukaryotes	Vermamoeba vermiformis
7aaa58b9bf8653832ac05ac392a8c399	gi|292559443|ref|NC_013986.1|	92.800	1.27e-41	125	Vermamoeba vermiformis	eukaryotes	Vermamoeba vermiformis
03b978f96f245befcab41c69c4470292	gi|2172612263|ref|NC_059753.1|	89.247	3.63e-22	93	Pleurosigma inscriptura	diatoms	Pleurosigma inscriptura
4dbfdcda92baf16e835a2a892ab1b015	gi|1032518916|gb|AH013018.2|	99.200	5.79e-55	125	Morone saxatilis	bony fishes	striped sea-bass
2b6db8229ca72f7cc20786586d7bda3f	gi|1032518916|gb|AH013018.2|	100.000	1.24e-56	125	Morone saxatilis	bony fishes	striped sea-bass
16b63bcbb8652a9d52b7e6737720df64	gi|1032518916|gb|AH013018.2|	94.949	7.70e-34	99	Morone saxatilis	bony fishes	striped sea-bass
acdb3bb5dc740a57463997610df8ee76	gi|1016472541|ref|NC_029841.1|	99.138	5.83e-50	116	Pholis nebulosa	bony fishes	tidepool gunnel
b1aa155afdd6063fbbf5dd050726e645	gi|21104311|emb|AJ242687.1|	100.000	1.24e-56	125	Uria lomvia	birds	thick-billed guillemot
f8f4cc3c781dcc15abfad2b056a6eb9e	gi|7339767|gb|AF173567.1|AF173567	100.000	1.24e-56	125	Podiceps auritus	birds	Podiceps auritus
b610102e741b732d66373ea23ec1d421	gi|1798174036|gb|MN122936.1|	99.200	5.79e-55	125	Larus argentatus	birds	Larus argentatus
17a75a16c789e95e92bce70c09392e80	gi|1798174036|gb|MN122936.1|	100.000	1.24e-56	125	Larus argentatus	birds	Larus argentatus
252eae5cc2edd15616c4dc7f6b6596fa	gi|1952239300|gb|MK263209.1|	100.000	1.24e-56	125	Gavia stellata	birds	red-throated loon
ee388d9f8bba7af785fe7336b0c77dbe	gi|109657945|gb|DQ674579.1|	100.000	1.24e-56	125	Actitis macularius	birds	Actitis macularius
94e10e42757332c02d1251c4c93adce3	gi|1252316388|ref|NC_036016.1|	98.400	2.69e-53	125	Tringa semipalmata	birds	Willet
9d3d3f2d18ea2a1b7add653565044e58	gi|1980528885|ref|NC_052822.1|	100.000	1.24e-56	125	Phalacrocorax auritus	birds	double-crested cormorant
08deaa922a168e08c3c124fae77a4116	gi|1850794460|gb|MG660556.1|	98.400	2.69e-53	125	Homo sapiens	primates	human
fc7709b4def995076606b2ca679986ab	gi|1834962145|ref|NC_047224.1|	100.000	1.24e-56	125	Anaxyrus americanus	frogs & toads	American toad
c93235ef1e7f80763b1802bdb6704f23	gi|150249230|gb|EF472007.1|	100.000	1.24e-56	125	Pseudacris crucifer	frogs & toads	spring peeper
e39fa60f8da8ccc95c43c5dad7915220	gi|90296272|gb|DQ283103.1|	97.600	1.25e-51	125	Lithobates forreri	frogs & toads	Forrer's grass frog
66e0018ed97303e49f7956b9d919fc64	gi|948298547|ref|NC_028283.1|	99.200	5.79e-55	125	Lithobates okaloosae	frogs & toads	Florida bog frog
bb628ef3fa793a8806cb881f3cc5d6f7	gi|2259493659|emb|OW836558.1|	87.302	7.98e-09	63	uncultured fungus	fungi	uncultured fungus
917587a2c1ea224a89b53052b7e391fd	gi|336111310|gb|JF488763.1|	100.000	1.24e-56	125	eukaryote SCGC AAA071-P07	eukaryotes	eukaryote SCGC AAA071-P07
c70d536b3542cd3ddfb953ac33f8ba7c	gi|336111310|gb|JF488763.1|	99.200	5.79e-55	125	eukaryote SCGC AAA071-P07	eukaryotes	eukaryote SCGC AAA071-P07
38233a8b512eef2af425b14e8f667fc7	gi|2281571379|gb|OK495705.1|	88.095	1.29e-31	126	Epeorus sp. 05 ZXM-2022a	mayflies	Epeorus sp. 05 ZXM-2022a
78da036f7ef42520000c8764e73146c9	gi|2281571379|gb|OK495705.1|	88.095	1.29e-31	126	Epeorus sp. 05 ZXM-2022a	mayflies	Epeorus sp. 05 ZXM-2022a
44822aab2777b2fcfc1e01c26db8c052	gi|1858626016|gb|MN849868.1|	99.200	5.79e-55	125	Homo sapiens	primates	human
f74696786120b0a69288fd89a5a75c9a	gi|347581929|dbj|AB462049.1|	100.000	1.24e-56	125	Procyon lotor	carnivores	raccoon
5c4bdb7d318caf5c35b1d0194e5feb92	gi|295809473|emb|FN674024.1|	100.000	1.24e-56	125	Homo sapiens	primates	human
476925d2e7c8176a2534738ba1e78b06	gi|1543384086|ref|NG_016607.2|	99.200	5.79e-55	125	Homo sapiens	primates	human
5ff7ee25be354b051d2f611e4fea3399	gi|1543384086|ref|NG_016607.2|	99.200	5.79e-55	125	Homo sapiens	primates	human
cd9fffd27aa07983abc31b178f14125c	gi|1543384086|ref|NG_016607.2|	100.000	1.24e-56	125	Homo sapiens	primates	human
c7e28db1df9eaeb5947c1c4371a2eb80	gi|1850794460|gb|MG660556.1|	100.000	1.24e-56	125	Homo sapiens	primates	human
6e8fe96b334b426e290d95c95308f3ab	gi|1850794460|gb|MG660556.1|	100.000	4.70e-21	61	Homo sapiens	primates	human
2b22992d4f882fc61815fcac304cc651	gi|1858626016|gb|MN849868.1|	99.200	5.79e-55	125	Homo sapiens	primates	human
1aaa258d37ad5e036b0ae9c6669343ba	gi|1851980134|gb|MK617232.1|	100.000	1.24e-56	125	Homo sapiens	primates	human
e9350a98bc9c317f7842dca6ecb0f618	gi|1851980582|gb|MK617264.1|	100.000	1.24e-56	125	Homo sapiens	primates	human
deba4522289a41753914d698334615dd	gi|1691371082|gb|MK069561.1|	100.000	1.24e-56	125	Homo sapiens	primates	human
9df7be0e6ca338ff706f0d4848bd1a47	gi|1858626016|gb|MN849868.1|	100.000	1.24e-56	125	Homo sapiens	primates	human
90b50833c359e8be85a9228dc58fa748	gi|1610106381|gb|MH553769.1|	100.000	1.61e-55	123	Homo sapiens	primates	human
